team,imagery_awards
frc1024,17
frc1262,15
frc1359,14
frc5926,13
frc571,12
frc1075,10
frc1711,10
frc1939,10
frc3940,10
frc365,9
frc624,9
frc703,9
frc910,9
frc1339,9
frc1736,9
frc2246,9
frc5113,9
frc193,8
frc233,8
frc1255,8
frc3219,8
frc3966,8
frc4048,8
frc4531,8
frc6740,8
frc87,7
frc1511,7
frc1538,7
frc1622,7
frc1922,7
frc2048,7
frc2839,7
frc3238,7
frc5012,7
frc33,6
frc68,6
frc172,6
frc399,6
frc503,6
frc589,6
frc847,6
frc1011,6
frc1086,6
frc1241,6
frc1266,6
frc1547,6
frc1746,6
frc2177,6
frc2194,6
frc2405,6
frc2640,6
frc2846,6
frc2936,6
frc5424,6
frc5830,6
frc155,5
frc272,5
frc522,5
frc1280,5
frc1481,5
frc1902,5
frc2013,5
frc2059,5
frc2342,5
frc2708,5
frc3182,5
frc3322,5
frc3465,5
frc4039,5
frc4525,5
frc4682,5
frc5431,5
frc5468,5
frc6004,5
frc6704,5
frc6861,5
frc7418,5
frc7619,5
frc34,4
frc88,4
frc141,4
frc166,4
frc175,4
frc203,4
frc245,4
frc333,4
frc418,4
frc647,4
frc709,4
frc1094,4
frc1188,4
frc1296,4
frc1319,4
frc1322,4
frc1528,4
frc2016,4
frc2377,4
frc2491,4
frc2826,4
frc2832,4
frc2877,4
frc2881,4
frc2930,4
frc2996,4
frc3157,4
frc3314,4
frc3352,4
frc3654,4
frc3958,4
frc4013,4
frc4055,4
frc4216,4
frc4325,4
frc4381,4
frc4575,4
frc4738,4
frc4918,4
frc4936,4
frc4965,4
frc5006,4
frc5409,4
frc6829,4
frc7153,4
frc7598,4
frc1,3
frc11,3
frc48,3
frc64,3
frc145,3
frc179,3
frc223,3
frc253,3
frc280,3
frc316,3
frc354,3
frc357,3
frc476,3
frc494,3
frc573,3
frc597,3
frc648,3
frc695,3
frc701,3
frc818,3
frc869,3
frc885,3
frc974,3
frc1006,3
frc1038,3
frc1189,3
frc1501,3
frc1506,3
frc1515,3
frc1523,3
frc1648,3
frc1701,3
frc1719,3
frc1775,3
frc1868,3
frc1885,3
frc2068,3
frc2096,3
frc2102,3
frc2129,3
frc2158,3
frc2169,3
frc2265,3
frc2352,3
frc2386,3
frc2445,3
frc2470,3
frc2517,3
frc2538,3
frc2619,3
frc2642,3
frc2662,3
frc2706,3
frc2733,3
frc2771,3
frc3010,3
frc3075,3
frc3098,3
frc3160,3
frc3176,3
frc3184,3
frc3196,3
frc3204,3
frc3414,3
frc3593,3
frc3637,3
frc3667,3
frc3965,3
frc3974,3
frc3998,3
frc4080,3
frc4173,3
frc4327,3
frc4451,3
frc4920,3
frc5048,3
frc5310,3
frc5410,3
frc5436,3
frc5461,3
frc5496,3
frc5582,3
frc5614,3
frc5635,3
frc5712,3
frc5885,3
frc6538,3
frc6978,3
frc7072,3
frc7429,3
frc7506,3
frc8075,3
frc8230,3
frc56,2
frc65,2
frc66,2
frc100,2
frc102,2
frc111,2
frc122,2
frc167,2
frc207,2
frc217,2
frc238,2
frc302,2
frc303,2
frc308,2
frc342,2
frc362,2
frc441,2
frc451,2
frc469,2
frc507,2
frc510,2
frc578,2
frc587,2
frc649,2
frc747,2
frc772,2
frc773,2
frc829,2
frc900,2
frc903,2
frc904,2
frc945,2
frc1111,2
frc1160,2
frc1218,2
frc1289,2
frc1323,2
frc1334,2
frc1410,2
frc1425,2
frc1529,2
frc1540,2
frc1561,2
frc1660,2
frc1675,2
frc1723,2
frc1729,2
frc1735,2
frc1741,2
frc1747,2
frc1756,2
frc1778,2
frc1791,2
frc1796,2
frc1810,2
frc1899,2
frc1920,2
